series,prefecture,name,address
prichan,福井県,ＭＥＧＡドン・キホーテＵＮＹ福井,福井県福井市飯塚町第１１号１１１番地　玩具売場
prichan,福井県,ＰＡＬＯ武生,福井県越前市横市町２８－１４－１エスカモール武生楽市店2Ｆ
prichan,福井県,アピタ敦賀,福井県敦賀市中央町１丁目５番５号　玩具売場
prichan,福井県,アピタ福井大和田,福井県福井市大和田２丁目１２３０
prichan,福井県,アル・プラザアミ,福井県坂井市春江随応寺16-11
prichan,福井県,アル・プラザベル,福井県福井市花堂南２－１６－１　玩具売場
prichan,福井県,アルプラザ鯖江,福井県鯖江市下河端町１６字下町１６番１
prichan,福井県,アルプラザ敦賀,福井県敦賀市白銀町１１番５号
prichan,福井県,ジョイランド　ベル,福井県福井市花堂南２丁目１６－１ショッピングステージ・ベル店内２Ｆ
prichan,福井県,ジョイランドエルパ,福井県福井市大和田町２丁目１２１２番地ラブリーパートナー・エルパ店内２Ｆ
prichan,福井県,ジョーシン福井本店,福井県福井市高柳１－２０１
prichan,福井県,セガワールド武生,福井県越前市新町３字１３－４
prichan,福井県,ピアゴ丸岡,福井県坂井市丸岡町一本田弐字小深町11-3
prichan,福井県,モーリーファンタジー鯖江,福井県鯖江市下河端１６字下町１６－１アル・プラザ鯖江２Ｆ
prichan,福井県,モーリーファンタジー福井,福井県福井市松城町１２－７
prichan,福井県,レジャーランドワイプラザ,福井県福井市新保町７－９－１Ｂ棟２Ｆ
prichan,福井県,西武百貨福井７階玩具売場,福井県福井市中央１－８－１西武百貨店福井店７Ｆ玩具売場
